,response id,birth year,gender,industry desc,occupation desc,organization size,manage others?,household,years at job,metro or regional,rw percentage (2020),org encouraged rw?,org prepared for rw?,rw is common at org?,rw permission is attainable,rw collaboration easy?,preferred rw percentage (2020),preferred rw percentage (future),if no covid: employer encourage rw ,if no covid: employer support rw,if no covid: i would have choice about rw,productivity (remote vs office),in-person: hours  commuting ,in-person: hours  working,in-person: hours  personal/family time,in-person: hours domestic responsibilities,remote: hours commuting ,remote: hours working,remote: hours personal/family time,remote: hours domestic responsibilities
2763,1257,1984,Male,Other Services,Professionals - Education Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,Rarely or never,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Less than 10% of my time,Less than 10% of my time,Neither unlikely or likely,Somewhat unlikely,Somewhat unlikely,I’m 30% less productive when working remotely,2.0,8.0,4.0,4.0,0.5,7.0,5.0,4.5
2764,1258,1959,Female,Education and Training,Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,50% - I spent about half of my time remote working,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly agree,100% - All of my time,100% - All of my time,Very unlikely,Very unlikely,Very unlikely,My productivity is about same when I work remotely,2.0,7.5,3.0,4.5,0.5,7.5,4.0,4.5
2765,1259,1975,Female,Other Services,Sales workers - Sales Representatives and Agents,Between 20 and 199,No,One parent family with dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,90%,Very likely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),2.5,8.0,1.0,4.5,0.5,8.0,3.0,4.5
2766,1260,1958,Male,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,100% - All of my time,60%,Somewhat likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,5.0,7.0,5.0,,5.0,7.0,5.0,
2767,1261,1961,Male,Education and Training,Professionals - Education Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,50% - About half of my time,20%,Very unlikely,Somewhat likely,Very unlikely,I’m 20% more productive when working remotely,1.5,7.5,6.0,2.0,0.0,8.5,6.5,2.0
2768,1262,1965,Male,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,60%,40%,Somewhat likely,Somewhat likely,Neither unlikely or likely,My productivity is about same when I work remotely,0.5,10.0,5.0,1.0,0.5,8.0,5.5,2.0
2769,1263,1958,Female,Other Services,Managers - Specialist Managers,Between 20 and 199,Yes,Other one family household,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),2.0,12.0,3.0,0.0,1.0,12.0,3.0,1.0
2770,1264,1971,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Single person,More than 5 years,Regional,20%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,30%,50% - About half of my time,Very unlikely,Very unlikely,Very unlikely,My productivity is about same when I work remotely,1.0,10.0,5.0,1.0,1.0,10.0,5.0,1.0
2771,1265,1963,Male,"Transport, Postal and Warehousing","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,90%,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,100% - All of my time,60%,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,I’m 20% less productive when working remotely,4.0,7.5,2.0,4.0,0.0,9.0,5.0,2.5
2772,1266,1988,Male,Financial and Insurance,Managers - Farmers and Farm Managers,Between 20 and 199,Yes,One parent family with dependent children,Between 6 and 12 months,Regional,40%,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,50% - About half of my time,40%,Very likely,Very likely,Somewhat likely,I’m 40% more productive when working remotely,4.0,3.0,8.0,8.0,4.0,10.0,2.0,3.0
2773,1267,1963,Male,Other Services,Professionals - Health Professionals,I am a sole trader/owner-operator,No,Single person,More than 5 years,Regional,Less than 10% of my time,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Less than 10% of my time,80%,Very likely,Very likely,Very likely,My productivity is about same when I work remotely,0.5,4.0,7.5,2.0,0.5,4.0,7.5,2.0
2774,1268,1977,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Regional,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,90%,100% - All of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 20% more productive when working remotely,1.0,8.0,6.0,2.0,0.0,7.0,7.0,2.0
2775,1269,1964,Female,Administrative and Support,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,100% - All of my time,100% - All of my time,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,I’m 30% more productive when working remotely,1.5,9.5,3.0,2.0,0.5,9.5,4.0,2.0
2776,1270,1972,Male,Other Services,Professionals - Arts and Media Professionals,More than 200,No,Couple with dependent children,More than 5 years,Regional,50% - I spent about half of my time remote working,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,50% - About half of my time,60%,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,I’m 30% more productive when working remotely,2.0,10.0,2.0,2.0,0.0,10.0,4.0,2.0
2777,1271,1983,Female,"Professional, Scientific and Technical",Professionals - Arts and Media Professionals,I am a sole trader/owner-operator,No,Couple with dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,100% - All of my time,Very likely,Very likely,Very likely,My productivity is about same when I work remotely,0.0,3.0,3.0,10.0,0.0,3.0,3.0,10.0
2778,1272,1971,Male,"Electricity, Gas, Water and Waste","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,80%,Very likely,Very likely,Very likely,I’m 20% more productive when working remotely,1.0,7.5,5.0,2.5,0.5,7.5,6.0,3.0
2779,1273,1987,Female,Public Administration and Safety,"Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Couple with dependent children,More than 5 years,Regional,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,70%,60%,Somewhat unlikely,Neither unlikely or likely,Somewhat likely,I’m 50% more productive when working remotely (or more),4.0,6.0,5.0,1.0,4.0,6.0,5.0,1.0
2780,1274,1971,Male,Education and Training,Managers - Specialist Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,Rarely or never,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I would not have preferred to work remotely,I would prefer not to work remotely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 20% less productive when working remotely,1.0,7.0,8.0,2.0,0.5,7.0,6.0,2.0
2781,1275,1958,Male,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Single person,Between 1 and 5 years,Regional,Less than 10% of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I would not have preferred to work remotely,I would prefer not to work remotely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,My productivity is about same when I work remotely,1.0,8.0,5.0,3.0,0.0,8.0,6.0,3.0
2782,1276,1957,Male,"Transport, Postal and Warehousing",Machinery operators and drivers - Road and Rail Drivers,More than 200,No,Single person,More than 5 years,Regional,20%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,80%,80%,Very unlikely,Somewhat unlikely,Somewhat unlikely,I’m 40% less productive when working remotely,3.0,8.0,3.0,2.0,1.0,8.0,5.0,2.0
2783,1277,1959,Male,Wholesale Trade,Sales workers - Sales Assistants and Salespersons,Between 20 and 199,Yes,Multiple family household,More than 5 years,Regional,70%,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,60%,80%,Somewhat unlikely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),2.0,6.0,4.0,4.0,0.0,8.0,4.0,4.0
2784,1278,1969,Male,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Somewhat unlikely,Very unlikely,Very unlikely,I’m 20% more productive when working remotely,4.0,7.0,4.0,2.0,0.0,10.0,2.0,2.0
2785,1279,1998,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Regional,20%,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,60%,60%,Very unlikely,Somewhat likely,Somewhat unlikely,I’m 20% more productive when working remotely,3.0,11.0,2.0,2.0,0.0,10.0,3.0,3.0
2786,1280,1964,Female,Health Care and Social Assistance,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,70%,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat unlikely,Somewhat unlikely,Neither unlikely or likely,I’m 40% more productive when working remotely,1.0,8.0,2.0,6.0,0.0,8.0,3.0,6.0
2787,1281,1964,Male,Public Administration and Safety,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,20%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,20%,20%,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,My productivity is about same when I work remotely,1.0,9.0,5.0,1.0,1.0,10.0,5.0,3.0
2788,1282,1995,Male,"Professional, Scientific and Technical",Professionals - Health Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Regional,80%,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,80%,60%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,My productivity is about same when I work remotely,2.0,8.0,2.0,2.0,2.0,8.0,2.0,2.0
2789,1283,1961,Female,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,No,Single person,More than 5 years,Regional,90%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,90%,70%,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,I’m 50% more productive when working remotely (or more),1.5,8.0,4.0,3.0,0.5,7.5,4.0,4.0
2790,1284,1978,Male,Information Media and Telecommunications,Community and personal service workers - Protective Service Workers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,20%,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,20%,20%,Somewhat likely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),1.0,6.0,5.0,5.0,1.0,6.0,5.0,5.0
2791,1285,1978,Male,Information Media and Telecommunications,Community and personal service workers - Protective Service Workers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Regional,20%,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,50% - About half of my time,50% - About half of my time,Very likely,Very likely,Very likely,I’m 50% more productive when working remotely (or more),1.0,6.0,5.0,5.0,1.0,6.0,5.0,5.0
2792,1286,1957,Male,Arts and Recreation,Clerical and administrative workers - Clerical and Office Support Workers,Between 5 and 19,No,Couple with no dependent children,More than 5 years,Regional,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Very likely,Very unlikely,Very likely,I’m 50% more productive when working remotely (or more),1.0,7.0,4.0,4.0,0.5,7.5,4.0,4.0
2793,1287,1959,Male,Other Services,"Professionals - Design, Engineering, Science and Transport Professionals",Between 1 and 4,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,90%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,90%,70%,Neither unlikely or likely,Somewhat likely,Somewhat likely,My productivity is about same when I work remotely,2.0,8.0,5.0,1.0,0.0,9.0,6.0,1.0
2794,1288,1983,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,More than 5 years,Regional,80%,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,70%,50% - About half of my time,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,I’m 10% more productive when working remotely,3.0,8.0,3.0,3.0,1.0,8.0,5.0,3.0
