responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
2452,1977,Female,"Professional, Scientific and Technical",Other,Between 5 and 19,No,Single person,More than 5 years,Regional,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Very unlikely,more productive,3,5,4,4,0,8,4,4,3
2453,1966,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,No,One parent family with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,3-4 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,3,8,3,2,0,10,3,3,3
2454,1982,Female,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,1-2 days,0-1 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,less productive,5,8,2,2,0.5,8,2,1,4.5
2455,1976,Female,Other,Other,Between 20 and 199,No,Single person,More than 5 years,Metro,1-2 days,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,2-3 days,2-3 days,Very unlikely,Very unlikely,Very unlikely,same productivity,3,8,1,4,0,8,7,2,3
2456,1971,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,4-5 days,4-5 days,Very likely,Very likely,Somewhat likely,same productivity,4,10,2,1,0,10,3,1,4
2457,1976,Male,Other,Other,Between 1 and 4,Yes,Group household,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,0.5,8,9,0.5,0.5,8,8,2,0
2458,1997,Male,Other,Other,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,0-1 days,0-1 days,Very likely,Somewhat likely,Very likely,more productive,3,8,3,2,4,9,1,2,-1
2459,1989,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Neither unlikely or likely,Somewhat unlikely,Somewhat likely,much more productive,1,11,3,2,1,11,3,4,0
2460,1971,Female,Education and Training,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Very unlikely,Very unlikely,Very unlikely,same productivity,1,10,3,0,0,6,5,1,1
2461,1999,Male,Other,Other,I am a sole trader/owner-operator,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,2-3 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,3-4 days,1-2 days,Very unlikely,Very unlikely,Very unlikely,much more productive,3,6,3.5,2,0.5,2,4,3,2.5
2462,1997,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,1-2 days,2-3 days,Very likely,Somewhat likely,Very likely,more productive,1,9,5,2,0,9,4,3,1
2463,1969,Male,Other,Professionals - ICT Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,same productivity,1.5,9.5,5,2,0,10,6,2,1.5
2464,2000,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,0-1 days,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0-1 days,0-1 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,less productive,3.5,8,4,1.5,2,7,4,3,1.5
2465,1991,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Regional,0-1 days,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Very unlikely,Very unlikely,Very unlikely,much more productive,1.5,8,1.5,5,0.5,8,3,4,1
2466,1958,Female,Financial and Insurance,Professionals - ICT Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Very likely,Neither unlikely or likely,Very likely,much more productive,2,8,4,2,0,9,5,2,2
2467,1966,Male,Information Media and Telecommunications,Managers - Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,much more productive,4,2,7,4,5,6,5,3,-1
2468,1977,Female,Other,Other,Between 1 and 4,No,Single person,More than 5 years,Regional,2-3 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,2-3 days,2-3 days,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,much more productive,2,7,4,4,0,7,5,4,2
2469,2000,Female,Health Care and Social Assistance,Other,More than 200,Yes,Multiple family household,Between 6 and 12 months,Regional,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,2-3 days,1-2 days,Somewhat likely,Somewhat unlikely,Somewhat unlikely,much more productive,2,9,3,3,2,9,2,2,0
2470,1994,Female,Other,Professionals - ICT Professionals,Between 5 and 19,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,0-1 days,0-1 days,Somewhat likely,Somewhat likely,Very likely,much more productive,1,8,3,4,1,8,3,4,0
2471,1963,Male,Other,Managers - Specialist Managers,More than 200,No,Couple with no dependent children,More than 5 years,Regional,2-3 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,3,5,8,0,0,8,8,0,3
2472,1972,Male,Other,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Regional,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,1,9,5,1,1,9,5,1,0
2473,1986,Male,Retail Trade,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,2-3 days,3-4 days,Very likely,Somewhat likely,Neither unlikely or likely,much more productive,2,9,5,0,0.5,8,7.5,0,1.5
2474,1991,Male,Retail Trade,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,much more productive,2,10,4,1,0,10,6,1,2
2475,1974,Male,Other,Other,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,0-1 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat unlikely,Somewhat likely,Very unlikely,more productive,2,8.5,4,3,1,8.5,3.5,3,1
2476,1967,Female,Other,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Regional,0-1 days,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,0-1 days,1-2 days,Very unlikely,Very unlikely,Very unlikely,more productive,4,9,2,2,1,10,3,3,3
2477,1963,Female,Other Services,Other,Between 5 and 19,No,Couple with dependent children,More than 5 years,Regional,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0-1 days,2-3 days,Somewhat likely,Somewhat likely,Somewhat likely,more productive,1,8,5,4,1,8,4,5,0
2478,1984,Male,Other,Professionals - ICT Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Regional,2-3 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,1-2 days,0-1 days,Very unlikely,Very unlikely,Somewhat likely,more productive,2,8,5,2,3,10,6,5,-1
2479,1987,Female,Other,Other,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,1-2 days,1-2 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,2,8,3,3,3,8,2,3,-1
2480,1985,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 days,4-5 days,Very likely,Very likely,Very likely,much less productive,3,10,4,1,3,10,4,1,0
2481,1965,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,0.5,9,4.5,2,0.5,9.5,3,3,0
2482,1993,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,more productive,3,9,3,2,0.5,9,4,3,2.5
2483,1990,Male,Other,Other,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Regional,3-4 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Very likely,Very likely,Somewhat likely,much more productive,1,10,1,3,2,10,1,2,-1
2484,1960,Female,Health Care and Social Assistance,Other,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,0-1 days,0-1 days,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,same productivity,1.5,10,2,4,0.5,8,5,4,1
2485,1974,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,1-2 days,0-1 days,Neither unlikely or likely,Somewhat likely,Very unlikely,much less productive,2,10,4,2,0,10,5,3,2
2486,1969,Female,Other Services,Other,I am a sole trader/owner-operator,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,4-5 days,4-5 days,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,same productivity,0,9,5,2,0,9,5,2,0
2487,1976,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,4-5 days,2-3 days,Somewhat unlikely,Somewhat likely,Neither unlikely or likely,much more productive,3,8,2,3,0,9,4,3,3
2488,1989,Female,Other,Other,Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,4-5 days,3-4 days,Somewhat likely,Very likely,Neither unlikely or likely,much more productive,1,9,3,2,0,9,3,2,1
2489,1988,Male,Financial and Insurance,Managers - Specialist Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,2-3 days,Very likely,Very likely,Very likely,same productivity,1,9.5,6,0.5,0.5,10,5,1,0.5
2490,1995,Male,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,No,Group household,Between 1 and 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,2-3 days,1-2 days,Neither unlikely or likely,Neither unlikely or likely,Somewhat unlikely,more productive,1,8,3,4,0,9,3,4,1
2491,1961,Female,Other,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,1-2 days,0-1 days,Somewhat unlikely,Somewhat likely,Neither unlikely or likely,less productive,3,9,2,2,0,12,2,2,3
2492,1957,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,4-5 days,4-5 days,Neither unlikely or likely,Somewhat likely,Somewhat likely,more productive,2,7,4,4,1,6,6,4,1
2493,1988,Female,Other,Other,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,3,7.5,5.5,2,0.5,7.5,6,2,2.5
2494,1988,Other,Information Media and Telecommunications,Other,Between 20 and 199,No,Group household,More than 5 years,Metro,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,1-2 days,1-2 days,Somewhat unlikely,Somewhat unlikely,Somewhat likely,much less productive,3,8,4,2,0,9,5,2,3
2495,1996,Female,Other,"Professionals - Business, Human Resource and Marketing Professionals",Between 20 and 199,No,Multiple family household,Between 1 and 5 years,Regional,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,1-2 days,1-2 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,much more productive,0.5,7.5,4,3,0,7.5,4.5,2,0.5
2496,1990,Female,Education and Training,Other,More than 200,No,Group household,Between 1 and 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat likely,Somewhat likely,Somewhat likely,much more productive,6,7,3,2,0,8,6,2,6
2497,1973,Female,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat unlikely,Neither unlikely or likely,Neither unlikely or likely,more productive,2,7,5,2,0,7,6.5,2.5,2
2498,1957,Female,Education and Training,Professionals - Education Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,0-1 days,0-1 days,Very unlikely,Very unlikely,Very unlikely,same productivity,3,2,7,4,2,2,7,5,1
